
  Oxidiser / Fuel  Alcohol  Ammonia  Hydrazine  Hydyne  JP-X  Kerosene  LH2  MMH  Solid  UDMH
  ---------------------------------------------------------------------------------------------
  BrF5               ·        ·         Y         Y      ·       ·       ·    Y     ·     Y
  CF2                ·        ·         Y         ·      ·       ·       Y    ·     ·     ·
  ClF3               ·        ·         Y         Y      ·       Y       ·    ·     ·     Y
  ClO3F              ·        ·         Y         Y      ·       Y       ·    Y     ·     Y
  H2O2               ·        ·         Y         Y      ·       Y       ·    ·     Y     Y
  LF2                ·        Y         Y         ·      ·       Y       Y    ·     ·     Y
  Lox                Y        Y         Y         Y      ·       Y       Y    ·     ·     Y
  MON                ·        ·         Y         Y      ·       ·       ·    Y     ·     Y
  N2O4               ·        ·         Y         Y      ·       Y       ·    Y     ·     Y
  Nitric acid        ·        Y         Y         Y      Y       Y       ·    Y     ·     Y
